MsgID.LOCAL_VELOCITY,1211.6590000,8.5674648,0.0459591,0.1227180
MsgID.GLOBAL_POSITION,0.0000000,-122.3957375,37.7933840,2.9630000
MsgID.LOCAL_VELOCITY,0.0000000,8.7000000,0.0600000,0.1200000
MsgID.LOCAL_POSITION,1211.9090000,12.6440487,-0.0744394,-2.9626663
MsgID.LOCAL_VELOCITY,1211.9090000,8.7316866,0.0693014,0.1089804
MsgID.GLOBAL_POSITION,0.0000000,-122.3957377,37.7934033,2.9690000
MsgID.LOCAL_VELOCITY,0.0000000,8.8100000,0.0700000,0.0600000
MsgID.LOCAL_POSITION,1212.1590000,14.8943481,-0.1253413,-2.9712422
MsgID.LOCAL_VELOCITY,1212.1590000,8.8163815,0.0823493,0.1098795
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932739,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957385,37.7934236,2.9670000
MsgID.LOCAL_VELOCITY,0.0000000,8.7700000,0.1300000,0.1000000
MsgID.LOCAL_POSITION,1212.4090000,16.9768353,-0.1358756,-2.9675798
MsgID.LOCAL_VELOCITY,1212.4090000,8.6928387,0.1453750,0.1203911
MsgID.GLOBAL_POSITION,0.0000000,-122.3957356,37.7934415,2.9650000
MsgID.LOCAL_VELOCITY,0.0000000,7.6100000,0.1800000,0.1000000
MsgID.LOCAL_POSITION,1212.6590000,19.0338993,0.1372810,-2.9658616
MsgID.LOCAL_VELOCITY,1212.6590000,7.1147079,0.1749453,0.0743381
MsgID.GLOBAL_POSITION,0.0000000,-122.3957356,37.7934553,2.9720000
MsgID.LOCAL_VELOCITY,0.0000000,5.5900000,0.1800000,0.0500000
MsgID.LOCAL_POSITION,1212.9090000,20.3928967,0.0685909,-2.9732237
MsgID.LOCAL_VELOCITY,1212.9090000,5.3364501,0.3024811,0.0580998
MsgID.GLOBAL_POSITION,0.0000000,-122.3957340,37.7934669,2.9690000
